[shard 9] 6,744 rows (225/s)
[shard 9] 15,924 rows (265/s)
[shard 9] 24,179 rows (269/s)
[shard 9] 32,470 rows (270/s)
[shard 9] 40,364 rows (269/s)
[shard 9] 49,734 rows (276/s)
[shard 9] 59,904 rows (285/s)
[shard 9] 69,991 rows (292/s)
[shard 9] 81,611 rows (302/s)
[shard 9] 91,359 rows (304/s)
[shard 9] 99,684 rows (302/s)
[shard 9] 107,992 rows (300/s)
[shard 9] 115,787 rows (297/s)
[shard 9] 123,185 rows (293/s)
[shard 9] 132,311 rows (294/s)
[shard 9] 143,505 rows (299/s)
[shard 9] 158,183 rows (310/s)
[shard 9] 176,134 rows (326/s)
[shard 9] 198,001 rows (347/s)
[shard 9] 216,320 rows (360/s)
[shard 9] 230,183 rows (365/s)
[shard 9] 241,123 rows (365/s)
[shard 9] 251,781 rows (364/s)
[shard 9] 261,642 rows (363/s)
[shard 9] 270,001 rows (359/s)
[shard 9] 278,316 rows (356/s)
[shard 9] 286,001 rows (351/s)
[shard 9] 294,439 rows (349/s)
[shard 9] 303,158 rows (347/s)
[shard 9] 311,885 rows (345/s)
[shard 9] 320,001 rows (342/s)
[shard 9] 329,645 rows (342/s)
[shard 9] 338,845 rows (340/s)
[shard 9] 348,376 rows (340/s)
[shard 9] 356,635 rows (338/s)
[shard 9] 363,779 rows (335/s)
[shard 9] 371,182 rows (333/s)
[shard 9] 379,395 rows (331/s)
[shard 9] 386,977 rows (329/s)
[shard 9] 392,805 rows (326/s)
[shard 9] 398,991 rows (323/s)
[shard 9] 405,618 rows (320/s)
[shard 9] 413,317 rows (319/s)
[shard 9] 422,035 rows (318/s)
[shard 9] 431,021 rows (318/s)
[shard 9] 440,128 rows (318/s)
[shard 9] 448,275 rows (317/s)
[shard 9] 456,001 rows (315/s)
[shard 9] 462,931 rows (314/s)
[shard 9] 470,001 rows (311/s)
[shard 9] 474,966 rows (308/s)
[shard 9] 481,769 rows (307/s)
[shard 9] 487,812 rows (305/s)
[shard 9] 493,490 rows (303/s)
[shard 9] 498,812 rows (300/s)
[shard 9] 503,996 rows (298/s)
[shard 9] 509,668 rows (296/s)
[shard 9] 516,001 rows (295/s)
[shard 9] 522,553 rows (293/s)
[shard 9] 528,001 rows (291/s)
[shard 9] 534,001 rows (289/s)
[shard 9] 540,309 rows (288/s)
[shard 9] 546,001 rows (285/s)
[shard 9] 550,492 rows (283/s)
[shard 9] 556,193 rows (282/s)
[shard 9] 562,001 rows (280/s)
[shard 9] 567,237 rows (279/s)
[shard 9] 573,996 rows (278/s)
[shard 9] 578,001 rows (276/s)
[shard 9] 583,458 rows (274/s)
[shard 9] 588,542 rows (273/s)
[shard 9] 593,344 rows (271/s)
[shard 9] 597,872 rows (270/s)
[shard 9] 603,068 rows (268/s)
[shard 9] 608,001 rows (266/s)
[shard 9] 612,191 rows (265/s)
[shard 9] 618,001 rows (263/s)
[shard 9] 623,880 rows (262/s)
[shard 9] 628,698 rows (261/s)
[shard 9] 633,917 rows (260/s)
[shard 9] 638,687 rows (259/s)
[shard 9] 644,512 rows (258/s)
[shard 9] 650,639 rows (257/s)
[shard 9] 656,313 rows (256/s)
[shard 9] 662,001 rows (256/s)
[shard 9] 666,749 rows (255/s)
[shard 9] 672,001 rows (253/s)
[shard 9] 677,434 rows (253/s)
[shard 9] 681,248 rows (251/s)
[shard 9] 684,858 rows (250/s)
[shard 9] 689,228 rows (249/s)
[shard 9] 693,270 rows (247/s)
[shard 9] 696,001 rows (246/s)
[shard 9] 700,537 rows (245/s)
[shard 9] 703,998 rows (243/s)
[shard 9] 708,001 rows (241/s)
[shard 9] 714,001 rows (241/s)
[shard 9] 718,794 rows (240/s)
[shard 9] DONE 721,330 opinions, 4,424,255 anchored cites in 50.5 min
